emp_no,title,first_name,last_name,birth_date,from_date,to_date
71188,Senior Staff,Pranjal,Schapiro,1965-01-02,1986-12-14,9999-01-01
71243,Senior Engineer,Kinh,Buchter,1965-01-10,1986-03-29,9999-01-01
71334,Senior Engineer,Cathie,Peck,1965-01-15,1993-04-12,2001-03-04
71334,Senior Engineer,Cathie,Peck,1965-01-15,2001-03-04,9999-01-01
71685,Senior Engineer,Kristinn,Olano,1965-01-01,1989-10-03,9999-01-01
71710,Assistant Engineer,Hitomi,Takanami,1965-01-31,1997-12-15,9999-01-01
71745,Engineer,Adil,Laventhal,1965-01-02,1992-05-13,9999-01-01
72190,Engineer,Sajjad,Waeselynck,1965-01-19,1999-09-13,9999-01-01
72194,Senior Engineer,Feiyu,Siepmann,1965-01-26,1998-10-01,9999-01-01
72232,Senior Engineer,Naraig,Veldwijk,1965-01-10,1989-07-10,9999-01-01
72640,Senior Engineer,Honglan,Hutton,1965-01-24,1993-10-04,9999-01-01
72918,Senior Staff,Takahira,Szilard,1965-01-22,1988-01-16,9999-01-01
73076,Senior Engineer,Froduald,Feldhoffer,1965-01-22,1993-03-16,9999-01-01
73233,Senior Engineer,Shigeo,Merey,1965-01-15,1985-07-30,9999-01-01
73516,Senior Engineer,Qingxiang,Badache,1965-01-14,1989-06-25,9999-01-01
73743,Engineer,Anneke,Bernardeschi,1965-01-15,1999-11-01,2000-10-15
73743,Engineer,Anneke,Bernardeschi,1965-01-15,2000-10-15,9999-01-01
74200,Senior Engineer,Holgard,Weiland,1965-01-16,1991-09-24,9999-01-01
74344,Engineer,Hiroyasu,Provine,1965-02-01,1994-11-25,9999-01-01
74668,Senior Staff,Masako,Bonifati,1965-01-01,1987-04-09,9999-01-01
74800,Senior Engineer,Yuuichi,Conde,1965-01-25,1989-03-08,9999-01-01
75354,Senior Engineer,Shuky,Jakobus,1965-01-11,1986-06-16,9999-01-01
75703,Senior Engineer,Kyoichi,Erman,1965-01-08,1996-07-25,9999-01-01
76189,Senior Engineer,Kolar,Hinsberger,1965-01-02,1986-10-20,9999-01-01
76201,Senior Engineer,Arif,Preusig,1965-01-10,1992-04-02,9999-01-01
76640,Senior Engineer,Tristan,Mitsuhashi,1965-01-02,1994-07-13,9999-01-01
77030,Technique Leader,Faiza,Garnham,1965-01-02,1986-03-02,9999-01-01
77303,Senior Staff,Xinglin,Birge,1965-01-18,1992-03-05,9999-01-01
77647,Technique Leader,Niranjan,Schaaf,1965-01-07,1989-11-05,9999-01-01
77815,Engineer,Ronghao,Picaronny,1965-01-21,1993-06-09,9999-01-01
78106,Senior Staff,Ashish,Ratnaker,1965-01-09,1986-11-10,2000-01-17
78106,Senior Staff,Ashish,Ratnaker,1965-01-09,2000-01-17,9999-01-01
78363,Engineer,Susumu,Fritzsche,1965-01-03,1998-06-23,9999-01-01
78469,Staff,Leucio,Cappelli,1965-01-28,1997-08-22,9999-01-01
78871,Senior Engineer,Conor,Ghandeharizadeh,1965-01-15,1985-05-25,9999-01-01
79043,Technique Leader,Katsuo,Hockney,1965-01-24,1999-11-07,9999-01-01
79171,Senior Engineer,Guiseppe,Ellozy,1965-01-19,1991-01-12,9999-01-01
79310,Senior Staff,Jeong,Cunliffe,1965-01-24,1996-10-27,9999-01-01
79606,Senior Engineer,Arnd,Peir,1965-01-03,1986-12-11,9999-01-01
79763,Senior Staff,Sanjoy,Barreiro,1965-01-20,1988-04-09,9999-01-01
79895,Senior Staff,Fei,Murtagh,1965-01-30,1986-01-19,9999-01-01
80067,Senior Staff,Kazuhisa,Weiland,1965-01-19,1985-11-09,9999-01-01
80203,Staff,Shakhar,Baik,1965-01-22,1993-12-01,9999-01-01
80432,Senior Staff,Stella,Figueira,1965-01-17,1990-03-14,9999-01-01
80731,Senior Staff,Shaowen,Eldridge,1965-01-25,1987-12-05,9999-01-01
80850,Senior Engineer,Koldo,Luit,1965-02-01,1995-04-16,9999-01-01
80889,Senior Engineer,Shigeo,Linnainmaa,1965-01-07,1985-07-30,9999-01-01
80948,Senior Engineer,Harjit,Bardell,1965-01-27,1991-05-24,9999-01-01
81105,Senior Engineer,Jaewon,Boissier,1965-01-14,1992-05-24,9999-01-01
81545,Technique Leader,Larisa,Kornyak,1965-01-13,1996-03-10,2000-02-07
81545,Technique Leader,Larisa,Kornyak,1965-01-13,2000-02-07,9999-01-01
81644,Staff,Divine,Ghandeharizadeh,1965-01-05,1997-11-28,9999-01-01
81995,Senior Engineer,Sreekrishna,Brender,1965-01-10,1990-03-22,9999-01-01
82069,Senior Engineer,Yechezkel,Perfilyeva,1965-01-20,1994-11-03,9999-01-01
82098,Senior Engineer,Poornachandra,Wilharm,1965-01-25,1991-04-20,9999-01-01
82351,Senior Staff,Stevo,Thambidurai,1965-01-26,1989-10-27,9999-01-01
82511,Engineer,Uwe,Koblick,1965-01-27,1998-04-04,9999-01-01
82919,Engineer,Shigeu,Claffy,1965-01-05,1998-02-03,1998-12-19
82919,Engineer,Shigeu,Claffy,1965-01-05,1998-12-19,9999-01-01
82928,Senior Engineer,Alselm,Rikino,1965-01-27,1990-11-16,9999-01-01
83280,Senior Engineer,Francesca,Ellozy,1965-01-07,1999-08-08,9999-01-01
83289,Senior Engineer,Shigeichiro,Engelmann,1965-01-09,1994-01-09,9999-01-01
83509,Senior Engineer,Breannda,Collavizza,1965-01-04,1989-10-12,9999-01-01
83544,Senior Staff,Leaf,Baak,1965-01-18,1994-09-05,9999-01-01
83714,Senior Engineer,Ohad,Kilgore,1965-01-27,1990-07-01,2000-10-10
83714,Senior Engineer,Ohad,Kilgore,1965-01-27,2000-10-10,9999-01-01
83805,Senior Engineer,Manohar,Harllee,1965-01-23,1987-03-11,9999-01-01
83941,Senior Staff,Zsolt,Hagimont,1965-01-11,1996-10-08,9999-01-01
84029,Staff,Babette,Eugenio,1965-01-27,1997-09-21,9999-01-01
84179,Senior Engineer,Shuichi,Nanard,1965-01-25,1989-03-14,9999-01-01
84236,Senior Staff,Eberhardt,Barriga,1965-01-18,1987-06-04,9999-01-01
84315,Assistant Engineer,Kristina,Baumann,1965-01-23,1996-09-26,9999-01-01
84451,Senior Engineer,Shiv,Aumann,1965-01-20,1998-06-14,9999-01-01
84508,Engineer,Tommaso,Vidya,1965-01-17,1998-05-02,9999-01-01
84840,Staff,Sverrir,Neimat,1965-01-14,1996-11-03,9999-01-01
84922,Engineer,Parke,Unno,1965-01-22,1996-07-01,9999-01-01
84942,Technique Leader,Shin,Fujisaki,1965-01-15,1988-02-23,9999-01-01
85216,Senior Staff,Ferdinand,Rosiles,1965-01-18,1997-07-08,9999-01-01
85288,Senior Engineer,Younwoo,Luders,1965-01-06,1995-03-31,1998-12-08
85288,Senior Engineer,Younwoo,Luders,1965-01-06,1998-12-08,9999-01-01
85414,Staff,Chiradeep,Callaway,1965-01-14,1999-07-30,9999-01-01
85445,Staff,Yongdong,Pollock,1965-01-09,1998-03-17,9999-01-01
85702,Engineer,Udi,Merks,1965-01-04,1997-08-15,9999-01-01
85874,Senior Staff,Pasqua,Taubman,1965-01-30,1986-06-23,9999-01-01
86213,Senior Staff,Kristine,Clemencon,1965-01-28,1990-04-22,1993-06-01
86213,Senior Staff,Kristine,Clemencon,1965-01-28,1993-06-01,9999-01-01
86354,Senior Engineer,Ronghao,Segond,1965-01-27,1993-09-13,9999-01-01
86422,Senior Staff,Jaewon,Thummel,1965-02-01,1985-09-14,9999-01-01
86546,Senior Engineer,Oldrich,Woycyznski,1965-01-09,1985-05-15,9999-01-01
86655,Engineer,Zhenhua,Lorys,1965-01-01,1995-08-21,9999-01-01
86672,Staff,JoAnne,Anido,1965-01-15,1995-09-15,9999-01-01
87129,Staff,Keung,Neiman,1965-01-16,1997-04-13,9999-01-01
87353,Senior Engineer,Quingbo,Coombs,1965-01-07,1999-01-17,9999-01-01
87714,Engineer,Khun,Janetzko,1965-01-16,1989-09-13,9999-01-01
87729,Senior Staff,Yongmin,Roccetti,1965-01-24,1986-12-10,9999-01-01
87783,Senior Engineer,Conor,Thorensen,1965-01-26,1988-02-24,9999-01-01
88103,Senior Staff,Goo,Bresenham,1965-01-09,1999-01-31,9999-01-01
88411,Engineer,Lena,Cannane,1965-01-31,2000-01-28,9999-01-01
88422,Technique Leader,Jungsoon,Birsak,1965-01-28,1985-04-03,9999-01-01
88647,Engineer,Vasiliy,Ratnaker,1965-01-10,1995-08-09,9999-01-01
88958,Senior Staff,Vojin,Coombs,1965-01-22,1995-07-23,9999-01-01
88965,Engineer,Mang,Hedayat,1965-01-20,1995-05-22,9999-01-01
89048,Senior Engineer,Otmar,Birjandi,1965-01-24,1985-03-23,9999-01-01
89090,Senior Staff,Tetsushi,Theuretzbacher,1965-01-26,1990-02-01,9999-01-01
89161,Senior Staff,Conal,Yetto,1965-01-07,1991-01-12,9999-01-01
89207,Senior Staff,Along,Erol,1965-01-15,1992-10-16,9999-01-01
89346,Engineer,Mansur,Comyn,1965-01-13,1999-08-31,9999-01-01
89590,Senior Staff,Guther,Rothenberg,1965-01-27,1991-08-08,9999-01-01
89664,Staff,Pranjal,Rossi,1965-01-20,1998-07-07,9999-01-01
89680,Senior Engineer,Aiman,Mawatari,1965-01-27,1988-05-01,9999-01-01
89806,Senior Engineer,Xiadong,Shinomoto,1965-01-27,1997-05-24,9999-01-01
89922,Senior Engineer,Alexius,Ibel,1965-01-26,1988-04-24,9999-01-01
89941,Senior Staff,Arnould,Weedman,1965-01-23,1989-07-28,9999-01-01
90077,Engineer,Vivian,Guerreiro,1965-01-24,1991-07-08,9999-01-01
90084,Senior Engineer,Renny,Bale,1965-01-01,1989-11-22,9999-01-01
90211,Engineer,Bader,Denis,1965-01-15,1997-10-06,9999-01-01
90292,Senior Engineer,Koichi,Assaf,1965-01-09,1990-05-26,9999-01-01
90518,Senior Staff,Fumiko,Chepyzhov,1965-01-24,1988-01-28,9999-01-01
90614,Engineer,Yonghoan,Trogemann,1965-01-29,1988-09-23,9999-01-01
90692,Senior Staff,Rajmohan,DasSarma,1965-01-03,1985-09-14,9999-01-01
91172,Senior Staff,Kazuhisa,Melter,1965-01-19,1987-07-16,9999-01-01
91182,Senior Engineer,Lucien,Schwartzburd,1965-01-04,1988-08-25,9999-01-01
91229,Senior Engineer,Yahiko,Hebden,1965-01-01,1996-10-03,9999-01-01
91256,Staff,Gunilla,Milicic,1965-01-13,1998-01-09,9999-01-01
91333,Staff,Lobel,Stafford,1965-01-27,1998-11-29,9999-01-01
91415,Senior Staff,Jamaludin,Nilsson,1965-01-04,1987-01-15,9999-01-01
91648,Senior Staff,Dmitry,Msuda,1965-01-29,1988-10-22,9999-01-01
92438,Senior Engineer,Aria,Kilgore,1965-01-04,1989-02-27,1992-04-11
92438,Senior Engineer,Aria,Kilgore,1965-01-04,1992-04-11,9999-01-01
92454,Senior Engineer,Visit,McFarlan,1965-01-24,1987-10-22,9999-01-01
92577,Assistant Engineer,Zhanqiu,Farrow,1965-01-06,1999-01-10,9999-01-01
92598,Assistant Engineer,Ranga,Merro,1965-01-18,1996-05-11,9999-01-01
92685,Senior Staff,Mang,Atchley,1965-01-26,1995-06-07,9999-01-01
92841,Senior Staff,Claude,Candan,1965-01-22,1993-08-04,9999-01-01
92846,Senior Staff,Anyuan,Kropatsch,1965-01-11,1986-09-05,9999-01-01
92920,Senior Engineer,Huei,Hutter,1965-01-20,1993-01-28,9999-01-01
93040,Senior Engineer,Jaques,Kabayashi,1965-01-19,1992-03-13,9999-01-01
93220,Senior Engineer,Richara,Walston,1965-01-11,1996-08-27,9999-01-01
93278,Senior Engineer,Magdalena,Penn,1965-02-01,1997-01-04,9999-01-01
93549,Senior Staff,Arie,Coullard,1965-02-01,1991-04-15,2000-03-28
93549,Senior Staff,Arie,Coullard,1965-02-01,2000-03-28,9999-01-01
93600,Technique Leader,Kristina,Neimat,1965-01-13,1988-04-18,9999-01-01
94331,Technique Leader,Ramzi,Cronau,1965-01-26,1999-09-03,9999-01-01
94416,Senior Staff,Aran,Cesareni,1965-01-01,1990-02-10,2001-11-20
94416,Senior Staff,Aran,Cesareni,1965-01-01,2001-11-20,9999-01-01
94761,Senior Engineer,Hitofumi,Zaccaria,1965-01-27,1988-11-22,9999-01-01
94944,Senior Engineer,Heping,Matheson,1965-01-13,1988-06-24,9999-01-01
95181,Staff,Yishai,Cappelli,1965-01-28,1997-01-30,9999-01-01
95286,Senior Engineer,Kristin,Guerreiro,1965-01-18,1989-08-23,9999-01-01
95314,Senior Staff,Rasiah,Koblick,1965-01-22,1991-08-21,9999-01-01
95406,Engineer,Alair,Lyonns,1965-01-08,1997-07-12,9999-01-01
95416,Engineer,Gianluca,Ramaiah,1965-01-13,1993-11-29,9999-01-01
95509,Engineer,Kristinn,Loncour,1965-01-11,1995-02-08,9999-01-01
95920,Senior Staff,Nobuyoshi,Hegner,1965-01-19,1994-09-07,9999-01-01
96571,Senior Engineer,Kokou,Garrabrants,1965-01-13,1997-11-05,9999-01-01
96579,Engineer,Mohan,Tasistro,1965-01-18,1996-02-10,9999-01-01
96767,Senior Engineer,Arumugam,Vecchio,1965-01-07,1985-08-14,9999-01-01
97018,Senior Engineer,Jeanna,Chinen,1965-01-09,1989-01-01,9999-01-01
97623,Senior Staff,Haldon,Janetzko,1965-01-25,1990-09-11,9999-01-01
97661,Senior Staff,Avishai,Hegner,1965-01-31,1993-05-08,9999-01-01
98288,Senior Staff,Sumali,Huttel,1965-01-12,1989-09-12,9999-01-01
98306,Senior Engineer,Ziya,Kadhim,1965-01-16,1995-11-02,1999-06-24
98306,Senior Engineer,Ziya,Kadhim,1965-01-16,1999-06-24,9999-01-01
98639,Staff,Florina,Assaf,1965-01-29,1996-05-18,9999-01-01
99057,Staff,Shugo,Reeken,1965-01-30,1999-06-21,9999-01-01
99373,Senior Staff,Xiaobin,Christianini,1965-01-13,1985-12-25,9999-01-01
99377,Senior Engineer,Carrsten,Francisci,1965-01-18,1991-06-16,9999-01-01
99590,Staff,Dhritiman,Anily,1965-01-24,1998-12-16,9999-01-01
99654,Senior Staff,Mahendra,Motley,1965-01-30,1985-09-28,9999-01-01
100865,Senior Engineer,Hisao,Peral,1965-01-19,1990-10-03,9999-01-01
100916,Senior Engineer,Heejo,Aamodt,1965-01-18,1992-04-22,9999-01-01
101487,Senior Staff,Abdelaziz,Sury,1965-01-14,1991-01-31,9999-01-01
101647,Senior Staff,Mori,Homond,1965-01-22,1994-05-10,9999-01-01
101902,Senior Staff,Mantis,Millington,1965-01-14,1991-03-18,9999-01-01
102620,Engineer,Adin,Templeman,1965-01-03,1997-12-10,1999-08-12
102620,Engineer,Adin,Templeman,1965-01-03,1999-08-12,9999-01-01
103196,Senior Staff,Djenana,Albarhamtoshy,1965-01-16,1988-07-16,9999-01-01
103310,Senior Staff,Visit,Swen,1965-01-07,1995-10-02,9999-01-01
103316,Senior Engineer,Susanne,Peternell,1965-01-03,1994-07-27,9999-01-01
103342,Engineer,Beshir,Hellwagner,1965-01-03,1998-02-03,9999-01-01
103756,Engineer,Heping,Halloran,1965-01-31,1992-04-08,9999-01-01
104133,Senior Staff,Pranjal,Zyda,1965-01-31,1991-07-03,9999-01-01
104845,Senior Staff,Werner,Lodder,1965-01-29,1992-06-17,9999-01-01
104988,Senior Engineer,Parviz,Litzler,1965-01-07,1992-08-08,9999-01-01
105342,Technique Leader,Kwun,Reeker,1965-01-01,1999-07-29,9999-01-01
105356,Senior Engineer,Diederik,Matzov,1965-01-29,1988-05-12,1995-03-08
105356,Senior Engineer,Diederik,Matzov,1965-01-29,1995-03-08,9999-01-01
105432,Senior Engineer,Mohamadou,Stafford,1965-01-08,1995-09-12,9999-01-01
105520,Senior Staff,Haldun,Lienhardt,1965-01-01,1987-01-29,9999-01-01
105731,Engineer,Sachem,Cromarty,1965-01-15,1990-08-20,9999-01-01
106096,Senior Engineer,Naftali,Schurmann,1965-01-14,1992-12-02,9999-01-01
106242,Senior Staff,Nevio,Thisen,1965-02-01,1988-03-25,9999-01-01
106695,Senior Staff,Lijie,Garrabrants,1965-01-31,1985-10-02,1988-10-26
106695,Senior Staff,Lijie,Garrabrants,1965-01-31,1988-10-26,9999-01-01
106710,Senior Staff,Babette,Anandan,1965-01-31,1986-11-22,9999-01-01
107486,Senior Engineer,Siamak,Luiz,1965-01-23,1987-02-11,9999-01-01
107737,Senior Engineer,Fabrizio,Chleq,1965-01-23,1999-07-31,9999-01-01
107792,Senior Staff,Shahab,Crooks,1965-01-13,1992-03-18,9999-01-01
107828,Senior Staff,Ramya,Walston,1965-01-26,1989-02-03,9999-01-01
108091,Senior Staff,Hisao,Ghemri,1965-01-09,1985-11-14,9999-01-01
108198,Senior Staff,Randi,Samarati,1965-01-24,1992-10-20,9999-01-01
108316,Senior Engineer,Shai,Stellhorn,1965-01-02,1992-05-21,9999-01-01
108988,Senior Staff,Oksana,Baek,1965-01-19,1989-07-20,9999-01-01
109062,Senior Engineer,Jamaludin,Kandlur,1965-02-01,1992-06-19,9999-01-01
109211,Senior Engineer,Gor,Delgrande,1965-01-11,1995-11-07,2002-06-18
109211,Senior Engineer,Gor,Delgrande,1965-01-11,2002-06-18,9999-01-01
109252,Technique Leader,Moty,Winter,1965-01-15,1991-04-28,9999-01-01
109278,Senior Staff,Bangqing,Schach,1965-01-21,1988-03-22,9999-01-01
109552,Engineer,Menkae,Etalle,1965-01-31,1997-05-21,9999-01-01
109598,Senior Staff,Stamatina,Auyong,1965-02-01,1988-07-05,9999-01-01
109620,Senior Staff,Mani,Cannata,1965-01-02,1989-06-21,9999-01-01
109703,Engineer,Arco,Walston,1965-01-17,1999-08-16,9999-01-01
109741,Senior Engineer,Hatem,Fadgyas,1965-01-11,1991-11-13,9999-01-01
109953,Senior Staff,Godehard,Chorvat,1965-01-26,1988-04-10,9999-01-01
200267,Senior Staff,Chuanti,Luff,1965-01-08,1994-09-21,9999-01-01
200312,Senior Engineer,Akemi,Fujisaki,1965-01-27,1998-06-25,2001-11-13
200312,Senior Engineer,Akemi,Fujisaki,1965-01-27,2001-11-13,9999-01-01
200363,Senior Engineer,Kirk,Quaggetto,1965-01-10,1987-06-30,9999-01-01
200735,Senior Staff,Dinah,Denos,1965-01-09,1992-09-21,9999-01-01
200789,Senior Staff,Susumu,Camurati,1965-01-14,1991-12-15,9999-01-01
201229,Staff,Alejandra,Khasidashvili,1965-01-03,1994-07-30,9999-01-01
201708,Senior Staff,Anneli,Perl,1965-01-15,1992-09-08,9999-01-01
201709,Senior Staff,Fan,Kakkad,1965-01-01,1988-02-25,9999-01-01
201739,Assistant Engineer,Genta,Terekhov,1965-01-16,1998-07-21,9999-01-01
201801,Senior Engineer,Waiman,Genin,1965-01-12,1988-10-30,9999-01-01
201915,Senior Engineer,Sudharsan,DeMori,1965-01-02,1992-03-30,9999-01-01
202291,Engineer,Ortrun,Schmiedel,1965-01-16,1997-07-18,9999-01-01
202403,Engineer,Gully,Perko,1965-01-09,1999-07-07,9999-01-01
202414,Senior Staff,Zvonko,Murthy,1965-01-13,1992-01-07,9999-01-01
202552,Senior Engineer,Morris,Saoudi,1965-01-05,1991-11-22,9999-01-01
202826,Senior Engineer,Kerhong,Matzke,1965-01-19,1986-11-14,9999-01-01
202882,Senior Engineer,Isaac,Koshino,1965-01-25,1995-09-28,9999-01-01
202950,Senior Staff,Giordano,Pietrzykowski,1965-01-17,1987-03-26,9999-01-01
203474,Senior Staff,Hugh,Jonsson,1965-01-03,1991-07-06,9999-01-01
203495,Technique Leader,Zongyan,Gips,1965-01-02,1997-05-31,9999-01-01
203599,Technique Leader,Ewing,DiGiano,1965-01-21,2000-02-01,9999-01-01
203720,Senior Staff,Sasan,Thimonier,1965-01-30,1996-08-21,9999-01-01
203946,Senior Staff,Yefim,Marwedel,1965-01-23,1993-03-30,9999-01-01
204117,Staff,Jessie,Nooteboom,1965-01-10,1999-08-13,2000-12-13
204117,Staff,Jessie,Nooteboom,1965-01-10,2000-12-13,9999-01-01
204133,Senior Staff,Susuma,Bergere,1965-01-22,1996-02-25,9999-01-01
204246,Senior Staff,Arve,Worfolk,1965-01-09,1985-04-01,9999-01-01
204425,Senior Engineer,Gretta,Huttel,1965-01-03,1990-10-08,9999-01-01
204470,Senior Staff,Hein,Lichtner,1965-01-22,1995-04-03,1998-05-02
204470,Senior Staff,Hein,Lichtner,1965-01-22,1998-05-02,9999-01-01
204471,Senior Engineer,Franziska,Maginnis,1965-01-27,1986-02-17,9999-01-01
204764,Senior Engineer,Susanne,Mandelberg,1965-01-22,1990-11-02,9999-01-01
205018,Engineer,Yahiko,Awdeh,1965-01-26,1998-08-05,9999-01-01
205085,Technique Leader,Moni,Kornyak,1965-01-23,1991-09-26,9999-01-01
205174,Staff,Leszek,Spinelli,1965-01-05,1998-12-10,9999-01-01
205500,Senior Engineer,Mary,Setiz,1965-01-04,1989-01-13,9999-01-01
205627,Senior Engineer,Stabislas,Broder,1965-01-21,1996-07-16,9999-01-01
205660,Staff,Kien,Barreiro,1965-01-27,1997-08-25,2000-10-24
205660,Staff,Kien,Barreiro,1965-01-27,2000-10-24,9999-01-01
205699,Senior Staff,Youjian,Yetto,1965-01-31,1994-12-07,9999-01-01
205789,Senior Staff,Limsoon,Skafidas,1965-01-31,1999-08-10,9999-01-01
205863,Senior Engineer,Aiichiro,Kusalik,1965-01-06,1990-10-04,9999-01-01
206748,Staff,Yucai,Fabrizio,1965-01-07,1999-10-06,9999-01-01
206836,Senior Staff,Guadalupe,Pfau,1965-01-12,1993-03-22,9999-01-01
206966,Senior Engineer,Tzu,Sichman,1965-01-21,1987-11-17,9999-01-01
207021,Engineer,Jacqueline,Akaboshi,1965-01-20,1997-12-06,9999-01-01
207068,Senior Staff,Zhiguo,Ariola,1965-01-13,1994-09-07,9999-01-01
207204,Engineer,Kellie,Schrooten,1965-01-25,1991-01-17,9999-01-01
207401,Senior Staff,Shuji,Barbanera,1965-01-04,1987-08-10,9999-01-01
207551,Assistant Engineer,Baziley,Falck,1965-01-15,1995-02-18,9999-01-01
207779,Senior Staff,Chinya,Kamble,1965-01-16,1992-05-31,9999-01-01
207980,Senior Staff,Remko,Vieth,1965-01-07,1990-11-22,9999-01-01
208147,Senior Engineer,Manu,Rothenberg,1965-01-09,1988-12-06,9999-01-01
208330,Senior Staff,Shen,Flanders,1965-01-11,1989-07-03,9999-01-01
208639,Senior Staff,Larisa,Lukaszewicz,1965-01-27,1989-10-10,1996-10-30
208639,Senior Staff,Larisa,Lukaszewicz,1965-01-27,1996-10-30,9999-01-01
208653,Senior Engineer,Phillip,Schade,1965-01-23,1989-03-03,9999-01-01
208784,Senior Engineer,Pranjal,Juneja,1965-01-30,1985-03-21,9999-01-01
209101,Senior Engineer,Xinyu,Edelhoff,1965-01-05,1997-10-26,9999-01-01
209443,Senior Staff,Krassimir,Garnier,1965-01-19,1998-01-26,9999-01-01
209565,Senior Staff,Dante,Covnot,1965-01-09,1989-05-28,9999-01-01
209712,Engineer,Nimmagadda,Baak,1965-01-17,1987-10-30,9999-01-01
210017,Senior Staff,Shalesh,Lovengreen,1965-01-28,1990-09-29,9999-01-01
210292,Staff,Lihong,Zeilberger,1965-01-18,1996-04-28,9999-01-01
210449,Engineer,Gino,Lagarias,1965-01-19,1997-06-22,9999-01-01
210752,Senior Staff,Saniya,Stenning,1965-01-25,1986-12-10,9999-01-01
210786,Staff,Werner,Ranze,1965-01-31,1998-06-05,9999-01-01
211858,Senior Engineer,Domenico,Ratnaker,1965-01-08,1985-03-24,9999-01-01
211879,Senior Engineer,Gao,Ranze,1965-01-12,1994-11-24,9999-01-01
211967,Senior Engineer,Anwar,Bain,1965-01-07,1989-01-22,9999-01-01
212093,Senior Staff,Leni,Henders,1965-01-11,1993-11-19,9999-01-01
212154,Senior Staff,Sailaja,Holburn,1965-01-17,1991-03-04,9999-01-01
212361,Senior Engineer,Claudi,Stanfel,1965-01-16,1996-01-07,9999-01-01
213016,Senior Engineer,Yongmao,Fontan,1965-01-22,1993-07-26,9999-01-01
213140,Staff,Tru,Danecki,1965-01-10,1997-03-31,9999-01-01
213384,Senior Engineer,Pranas,Narwekar,1965-01-04,1985-09-26,9999-01-01
213447,Senior Engineer,Armond,Perly,1965-02-01,1989-09-14,9999-01-01
214215,Senior Staff,Xiaoqiang,Cardazo,1965-01-25,1993-05-28,9999-01-01
214391,Senior Staff,Rayond,Klassen,1965-01-15,1993-09-11,9999-01-01
214427,Engineer,Peer,Molberg,1965-01-29,1996-11-17,9999-01-01
214539,Engineer,Ingmar,Kohling,1965-01-27,1995-04-25,9999-01-01
214634,Senior Engineer,Shirish,Vickson,1965-01-12,1989-10-24,9999-01-01
214789,Senior Engineer,Arfst,Chepyzhov,1965-01-28,1989-02-06,9999-01-01
214866,Senior Engineer,Gopalakrishnan,Angel,1965-02-01,1997-07-05,9999-01-01
214995,Engineer,Dinkar,Hoppenstand,1965-01-12,1994-05-04,9999-01-01
215419,Staff,Flemming,Kroha,1965-01-16,1995-01-23,9999-01-01
215629,Senior Staff,Munehiro,Manders,1965-01-15,1987-05-18,9999-01-01
215746,Staff,Sven,Speer,1965-01-08,1999-07-08,9999-01-01
215843,Senior Staff,Pramod,Loncour,1965-01-30,1987-03-31,9999-01-01
216054,Senior Staff,Sahrah,Angiulli,1965-01-24,1986-07-31,9999-01-01
216342,Senior Engineer,Aiichiro,Cromarty,1965-01-22,1995-06-10,9999-01-01
216375,Senior Engineer,Byong,Gustavson,1965-01-16,1985-03-12,9999-01-01
216502,Engineer,Xiaocheng,Suermann,1965-01-26,1997-12-15,9999-01-01
216573,Senior Engineer,Ashish,Vidya,1965-01-29,1989-06-16,9999-01-01
216921,Senior Staff,Lena,Lenart,1965-01-22,1990-12-25,9999-01-01
217026,Senior Staff,Otmar,Engberts,1965-01-11,1993-08-16,9999-01-01
217080,Senior Engineer,Masami,Puoti,1965-01-12,2000-01-21,9999-01-01
217272,Senior Staff,Yuchang,Eldridge,1965-01-21,1986-08-01,9999-01-01
217286,Technique Leader,Yannik,Spelt,1965-01-05,1992-09-22,9999-01-01
217320,Engineer,Abdelwaheb,Denis,1965-01-10,1993-09-10,9999-01-01
217363,Staff,Horward,Marzano,1965-01-14,1996-04-11,9999-01-01
217387,Senior Engineer,Jianhao,Molenaar,1965-01-21,1987-10-22,9999-01-01
217551,Senior Engineer,Panayotis,Lukaszewicz,1965-01-02,1989-06-06,9999-01-01
217800,Senior Staff,Shay,Servieres,1965-02-01,1998-08-06,9999-01-01
218022,Technique Leader,Mokhtar,Poupard,1965-01-26,1992-02-02,9999-01-01
218100,Senior Staff,Jiong,Garnham,1965-01-24,1990-01-02,9999-01-01
218831,Engineer,Unal,DuBourdieux,1965-01-16,1996-03-13,9999-01-01
219035,Technique Leader,Kristine,Bierman,1965-01-18,1988-05-13,9999-01-01
219047,Senior Engineer,Aemilian,Kusalik,1965-01-30,1987-05-27,9999-01-01
219052,Staff,Marsal,Acton,1965-01-06,1995-08-02,9999-01-01
219417,Staff,Subhrajyoti,Denna,1965-01-29,1996-07-25,9999-01-01
219497,Technique Leader,Moie,Zastre,1965-01-22,1991-10-11,9999-01-01
219967,Senior Staff,Susanna,Reeken,1965-01-16,1998-03-16,9999-01-01
220029,Senior Engineer,Demos,Asser,1965-01-17,1985-11-04,9999-01-01
220131,Senior Engineer,Reinhard,Slaats,1965-01-09,1994-06-08,9999-01-01
220418,Staff,Poorav,Laventhal,1965-01-23,1997-08-16,9999-01-01
220528,Senior Staff,Sibyl,Rabehasaina,1965-01-06,1998-02-23,9999-01-01
220582,Senior Staff,Poornachandra,Zielinski,1965-01-08,1996-02-13,9999-01-01
220611,Senior Staff,Yuping,Babb,1965-01-23,1995-01-31,9999-01-01
220625,Technique Leader,Shigenori,Deville,1965-01-25,1992-12-24,9999-01-01
